candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Younkin, Cindy  E",House,71,Republican,0.0,980.0,980.0,499.5,480.5,3,05/14/2020,2020-05-21
"Richmond, Tom",Senate,28,Republican,0.0,7919.99,7919.99,7888.72,31.27,4,05/14/2020,2020-05-21
"Brewster, Larry  D",House,44,Republican,5811.1,560.0,6371.1,2526.92,3844.18,4,05/15/2020,2020-05-21
"Buterbaugh, James  O",Senate,38,Republican,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"O'Neil, Jerry",House,07,Republican,0.0,15.0,15.0,15.0,0.0,1,03/20/2020,2020-05-21
"Schultz, George  Antho",House,19,Libertarian,0.0,0.0,0.0,0.0,0.0,3,05/14/2020,2020-05-21
"Malone, Marty  C",House,59,Republican,5410.0,0.0,5410.0,2315.54,3094.46,3,05/14/2020,2020-05-21
"Hill Smith, Ellie",Senate,45,Democrat,180.0,7431.56,7611.5599999999995,7431.56,180.0,6,05/14/2020,2020-05-21
"Longfield, Paul  J",Senate,02,Republican,0.0,0.0,0.0,0.0,0.0,2,04/20/2020,2020-05-21
"Hamman, Jane   L",Senate,38,Republican,0.0,4047.35,4047.35,2572.94,1474.41,3,05/14/2020,2020-05-21
"Verrill-Rhys, Leigh  V",House,48,Republican,1310.0,0.0,1310.0,495.2,814.8,3,05/15/2020,2020-05-21
"Tenenbaum, Danny",House,95,Democrat,0.0,5708.0,5708.0,2804.64,2903.36,5,05/14/2020,2020-05-21
"Lucke, Terry",Senate,45,Libertarian,0.0,0.0,0.0,0.0,0.0,1,03/15/2020,2020-05-21
"Salomon, Daniel",Senate,47,Republican,2215.0,3050.0,5265.0,176.2,5088.8,6,05/15/2020,2020-05-21
"Conley, Loni  R",House,96,Democrat,665.0,1833.0,2498.0,1873.42,624.58,6,05/14/2020,2020-05-21
